DAFTAR RISIKO,,,,,,,,,,,,,,,,,,,,
RUMAH SAKIT,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
No,Kegiatan,Tujuan Kegiatan,Kode Risiko,Kategori Risiko,Ruang Lingkup,Pernyataan Risiko,Sebab,UC/C,Probality,Dampak,Pengendalian Yang Ada,,,Tingkat Risiko,Peringkat Risiko,Rencana Pengendalian,,Pemilik Risiko,PJ Tindak Lanjut,
,,,,,,,,,,,Uraian,Desain,Efektifitas,,,,,,,
,,,,,,,,,,,,,,,,Uraian,Jadwal,,,
1,2,3,4,5,6,7,8,9,10,11,13,14,16,19,20,21,22,23,24,
1,membersihkan area pasien dan pengunjung,untuk kebersihan dan kenyamanan area pasien dan pengunjung,o,Operasional,Fasilitas,"karena tidak dilakukan pembersihan area pasien dan pengunjung, mungkin saja area pasien dan pengunjung kotor sehingga pasien dan pengunjung tidak nyaman dan komplain",karena tidak dilakukan pembersihan area pasien dan pengunjung secara berkala,C,4,3,spo,Ada,Kurang Efektif,12,TINGGI,membuat jadwal rutin pembersihan dan melakukan QC kebersihan,setiap bulan,Rumah Tangga,suvervisor dan leader cs,Rumah Tangga
2,Pembersihan kamar rawat inap,untuk kebersihan dan kenyamanan pasien dan penunggu pasien,o,Operasional,Fasilitas,karena tidak dilakukan pembersihan area rawat inap mungkin saja kamar rawat inap kotor sehingga pasien dan penunggu pasien tidak nyaman dan komplain,karena tidak dilakukan pembersihan kamar rawat inap,C,3,3,SPO pembersihan area umum,Ada,Kurang Efektif,9,SEDANG,membuat jadwal rutin pembersihan dan melakukan QC kebersihan,setiap bulan,Rumah Tangga,suvervisor dan leader cs,Rumah Tangga
3,Pembersihan kamar rawat inap isolasi,untuk kebersihan dan kenyamanan pasien dan penunggu pasien,o,Operasional,Nakes lain,karena petugas cleaning service tidak melakukan kewaspadan standar terhadap bahaya infeksius mungkin saja petugas cleaning service terpapar penyakit infeksius sehingga petugas cleaning service sakit,karena tidak melakukan kewaspadaan standar terhadap bahaya infeksius,C,2,3,SPO Kewaspadaan,Ada,Kurang Efektif,6,SEDANG,melakukan pengawasan kepatuhan penggunaan APD,berkala,Rumah Tangga,"IPCN & Suvervisor , leader CS",Rumah Tangga
4,"Pembersihan toilet pasien, pengunjung dan staf rs","untuk kebersihan dan kenyamanan pasien, pengunjung dan staf rs",o,Operasional,Fasilitas,"karena tidak lakukan pembersihan toilet secara maksimal mungkin saja kondisi toilet licin dan bau sehingga pasien, pengunjung, staf rs terleset dan komplain bau",karena tidak dilakukan pembersihan toilet secara maksimal,C,3,3,SPO pembersihan area umum,Ada,Kurang Efektif,9,SEDANG,MEMbuat jadwal rutin pembersihan dan melakukan QC kebersihan,setiap bulan,Rumah Tangga,severvisor dan leader cs,Rumah Tangga
5,pengangkutan limbah domestik ( non medis) dari dari tempat sampah ruangan ke TPS,membuang sampah domestik ke TPS,o,Operasional,Nakes lain,karena tidak dilakukan pengangkutan sampah domestik secara berkala pada tempat sampah ruangan mungkin saja tempat sampah penuh dan bau sehingga ruangan tidak nyaman dan komplain,karena tidak dilakukan pengangkutan sampah domestik secara berkala,C,3,2,SPO,Ada,Kurang Efektif,6,SEDANG,meninjau ulang SPO,,Rumah tangga,rumah tangga,Rumah Tangga
6,pengangkutan limbah domestik ( non medis) dari dari tempat sampah ruangan ke TPS,membuang sampah domestik ke TPS,o,Operasional,Nakes lain,karena tidak melakukan penanganan dengan baik pada sampah domestik saat pengangkutan mungkin saja ada sampah yang tajam sehingga petugas cleaning service terluka,karena tidak melakukan penanganan pada sampah domestik,C,2,2,SPO,Ada,Kurang Efektif,4,RENDAH,meninjau ulang SPO,,rumah tangga,rumah tangga,Rumah Tangga
7,pengangkutan limbah medis dari ruangan ke TPS LB3,Membuang sampah medis ke TPS LB3,K,Kepatuhan,Nakes lain,karena tidak melakukan penanganan dengan baik pada sampah medis saat pengangkutan mungkin saja ada sampah yang tajam dan cairan tubuh pasien sehingga petugas cleaning service terluka dan terkena cairan tubuh pasien,karena tidak sesuai penanganan pada sampah medis,C,4,2,SPO,Ada,Kurang Efektif,8,SEDANG,meninjau ulang SPO,,Kesling,kesling,Rumah Tangga
8,pengangkutan limbah medis dari ruangan ke TPS LB3,Membuang sampah medis ke TPS LB3,o,Operasional,Fasilitas,karena tidak ada perawatan pada troli pengangkutan limbah medis mungkin saja kondisi troli rusak sehingga sampah yang angkut akan bececeran di area pelayanan rs,karena tidak dilakukan perawatan pada troli pengankut sampah medis,C,3,2,SPO,Ada,Kurang Efektif,6,SEDANG,meninjau ulang SPO,,Kesling,kesling,Rumah Tangga
9,"pembersihan pada area plafon, lampu, exhaus fan",untuk kebersihan area atas dan kualitas udara ruangan,o,Operasional,Fasilitas,"karena tidak dilakukan pembersihan area plafon , lampu dan exhaust mungkin saja kondisi plafon , lampu, exhaust fan kotor sehingga kualitas udara ruangan kotor","karena tidak lakukan pembersihan area plafon , lampu , exhaust fan",C,3,2,SPO pembersihan area umum,Ada,Kurang Efektif,6,SEDANG,MEMbuat jadwal rutin pembersihan dan melakukan QC kebersihan,setiap bulan,rumah tangga,suvervisor dan leader cs,Rumah Tangga
10,"pembersihan pada area plafon, lampu, exhaus fan",untuk kebersihan area atas dan kualitas udara ruangan,o,Operasional,Nakes lain,"karena tidak melakukan pengecekan alat bantu pembersihan area plafon, lampu , exhaust fan mungkin saja petugas cleaning service terjatuh sehinga terluka",karena tidak melakukan pengecekan pada alat bantu pekerjaan ketinggian,C,2,4,SPO bekerja di ketinggian,Ada,Kurang Efektif,8,SEDANG,briefing untuk penggunaan alat bantu kerja dan APD,setiap bulan,rumah tangga,severvisor dan leader cs,Rumah Tangga
11,pemeliharaan taman dan ruang terbuka hijau,"menanam, merawat, menyiram tanaman",o,Operasional,Lingkungan,"karena tidak melakukan pemangkasan tanaman pada area mobilitas pasien, pengunjung , staf mungkin saja tanaman akan menghalangi pejalan kaki sehingga pasien , pengunjung, staf akan terhalang dan luka yang di sebabkan oleh tanaman",karena tidak melakukan pemotongan pada tanaman,C,2,3,pemilihan dan pemotongan pada tanaman di area umum,Ada,Kurang Efektif,6,SEDANG,melakukan penjadwalan dan QC pembersihan tempat sampah,setiap bulan,rumah tangga,suvervisor dan leader cs,Rumah Tangga
12,pengangkutan limbah domestik (non medis) di TPS domestik,pengangkutan sampah domestik dari TPS ke TPA oleh petugas DLH,o,Operasional,Lingkungan,karena tidak dilakukan pengangkutan sampah domestik di TPS sesuai jadwal mungkin saja TPS domestik penuh dan bau sehingga sampah menumpuk dan adanya komplain terkait bau di area sekitar TPS domestik,karena tidak dilakukan pengangkutan sampah di TPS domestik sesuai jadwal oleh petugas DLH,C,3,1,SPO,Ada,Kurang Efektif,3,RENDAH,meninjau ulang SPO,,rumah tangga,rumah tangga,Rumah Tangga
